state,standards_year,source_file,targetTags,newTagName,newTagValue
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Domain: A.APR/Curriculum: Eureka Math 2 UTE,AK-DEED Domain,AK.CS.MA.9-12.A-APR
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.APR.A/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-APR.1-1
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.APR.A.1/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-APR.1
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Domain: A.CED/Curriculum: Eureka Math 2 UTE,AK-DEED Domain,AK.CS.MA.9-12.A-CED
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.CED.A/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-CED.1-4
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.CED.A.1/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-CED.1
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.CED.A.2/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-CED.2
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.CED.A.3/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-CED.3
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.CED.A.4/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-CED.4
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Domain: A.REI/Curriculum: Eureka Math 2 UTE,AK-DEED Domain,AK.CS.MA.9-12.A-REI
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.REI.A/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-REI.1-2
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.A.1/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.1
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.REI.B/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-REI.3-4
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.B.3/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.3
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.B.4/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.4
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Child Standard: A.REI.B.4.a/Curriculum: Eureka Math 2 UTE,AK-DEED Child Standard,AK.CS.MA.9-12.A-REI.4.a
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Child Standard: A.REI.B.4.b/Curriculum: Eureka Math 2 UTE,AK-DEED Child Standard,AK.CS.MA.9-12.A-REI.4.b
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.REI.C/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-REI.5-9
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.C.5/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.5
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.C.6/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.6
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.C.7/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.7
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.REI.D/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-REI.10-12
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.D.10/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.10
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.D.11/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.11
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.REI.D.12/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-REI.12
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Domain: A.SSE/Curriculum: Eureka Math 2 UTE,AK-DEED Domain,AK.CS.MA.9-12.A-SSE
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.SSE.A/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-SSE.1-2
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.SSE.A.1/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-SSE.1
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Child Standard: A.SSE.A.1.a/Curriculum: Eureka Math 2 UTE,AK-DEED Child Standard,AK.CS.MA.9-12.A-SSE.1.a
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Child Standard: A.SSE.A.1.b/Curriculum: Eureka Math 2 UTE,AK-DEED Child Standard,AK.CS.MA.9-12.A-SSE.1.b
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.SSE.A.2/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-SSE.2
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Cluster: A.SSE.B/Curriculum: Eureka Math 2 UTE,AK-DEED Cluster,AK.CS.MA.9-12.A-SSE.3-4
AK,,Learnosity_Bulk_Tagging_AK_Algebra1_batch1.csv,CCSS Math Standard: A.SSE.B.3/Curriculum: Eureka Math 2 UTE,AK-DEED Standard,AK.CS.MA.9-12.A-SSE.3
